Model Number,FLUKE A3000FC
Tool Name,A3000FC - B
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 13:01:01,Jun 30 2024 13:56:34,1:00:55:33,00:01:00,1496

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
150,Jun 29 2024 15:30:01,00:01:00,Jun 29 2024 15:30:41,"12.5","10.9",Jun 29 2024 15:30:21,"10.6",Jun 29 2024 15:31:01
151,Jun 29 2024 15:31:01,00:01:00,Jun 29 2024 15:31:11,"12.1","10.9",Jun 29 2024 15:31:35,"10.4",Jun 29 2024 15:32:01
152,Jun 29 2024 15:32:01,00:01:00,Jun 29 2024 15:32:41,"12.1","10.6",Jun 29 2024 15:32:11,"10.2",Jun 29 2024 15:33:01
153,Jun 29 2024 15:33:01,00:01:00,Jun 29 2024 15:33:56,"11.6","10.8",Jun 29 2024 15:33:56,"10",Jun 29 2024 15:34:01
154,Jun 29 2024 15:34:01,00:01:00,Jun 29 2024 15:34:56,"11.8","10.5",Jun 29 2024 15:34:11,"9.9",Jun 29 2024 15:35:01
155,Jun 29 2024 15:35:01,00:01:00,Jun 29 2024 15:35:26,"11.6","10.2",Jun 29 2024 15:35:41,"9.8",Jun 29 2024 15:36:01
156,Jun 29 2024 15:36:01,00:01:00,Jun 29 2024 15:36:56,"13.1","9.9",Jun 29 2024 15:36:59,"8.9",Jun 29 2024 15:37:01
157,Jun 29 2024 15:37:01,00:01:00,Jun 29 2024 15:37:56,"11.9","9.6",Jun 29 2024 15:37:26,"8.8",Jun 29 2024 15:38:01
158,Jun 29 2024 15:38:01,00:01:00,Jun 29 2024 15:38:03,"11.9","9.4",Jun 29 2024 15:38:43,"8.9",Jun 29 2024 15:39:01
159,Jun 29 2024 15:39:01,00:01:00,Jun 29 2024 15:39:14,"11.9","9.6",Jun 29 2024 15:39:41,"8.6",Jun 29 2024 15:40:01
